wagnum,rem_month,kod_vrab,neis1_kod,neis2_kod,neis3_kod,mod1_kod,mod2_kod,mod3_kod,mod4_kod,mod5_kod,mod6_kod,mod7_kod,road_id_send,gr_probeg,por_probeg,st_id_send
5772,2022-08-01,3,33,98,54,7,4,2,0,0,0,0,37,66821,40464,9275
5772,2022-08-01,2,38,98,54,7,4,2,0,0,0,0,37,66821,40195,9519
6525,2022-08-01,3,6,98,54,7,4,2,0,0,0,0,44,80457,13989,12377
6525,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,44,80457,14235,12429
7566,2022-08-01,2,102,98,54,7,4,2,0,0,0,0,25,58001,13767,12606
7566,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,25,58001,13767,12606
7680,2022-08-01,5,0,98,54,7,4,2,0,0,0,0,40,62653,20596,10847
7680,2022-08-01,3,0,98,54,4,4,2,0,0,0,0,40,62653,20596,10847
7680,2022-08-01,3,6,98,54,7,4,2,0,0,0,0,40,62653,20596,10847
7680,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,40,62653,20596,10847
7693,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,29,85104,21356,6642
7693,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,29,85104,21356,6714
5876,2022-08-01,5,0,98,54,7,4,2,0,0,0,0,28,95439,34876,5870
5876,2022-08-01,2,97,98,54,7,4,2,0,0,0,0,28,95439,34713,12605
6716,2022-08-01,2,38,98,54,7,4,2,0,0,0,0,37,57278,24433,9519
6716,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,37,57278,24433,9519
5884,2022-08-01,3,99,98,54,7,4,2,0,0,0,0,38,70363,17214,10150
5895,2022-08-01,3,0,98,54,1,4,2,0,0,0,0,42,71074,42961,11305
5895,2022-08-01,3,2,62,51,7,4,2,0,0,0,0,42,71074,42961,11413
6655,2022-08-01,5,0,98,54,7,4,2,0,0,0,0,25,52560,13525,12606
6655,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,25,52560,13445,5032
6655,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,25,52560,13525,12620
6655,2022-08-01,3,2,2,54,7,4,2,0,0,0,0,25,52560,13525,12620
6473,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,37,37313,10983,9275
6473,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,37,37313,10983,9275
6473,2022-08-01,2,118,98,54,7,4,2,0,0,0,0,37,37313,10983,9275
6473,2022-08-01,5,0,98,54,7,4,2,0,0,0,0,37,37313,10983,9275
5546,2022-08-01,2,130,72,54,7,4,2,0,0,0,0,29,62379,31513,6629
5546,2022-08-01,2,0,98,54,6,4,2,0,0,0,0,29,62379,31558,6642
6439,2022-08-01,2,94,98,54,7,4,2,0,0,0,0,25,64541,35343,5234
6439,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,25,64541,35343,5234
7427,2022-08-01,3,131,70,54,7,4,2,0,0,0,0,43,66956,25151,11833
7427,2022-08-01,3,0,98,54,6,4,2,0,0,0,0,43,66956,25151,11810
10592,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,3,62919,38836,385
10592,2022-08-01,2,101,98,54,7,4,2,0,0,0,0,3,62919,38836,385
10592,2022-08-01,5,0,98,54,7,4,2,0,0,0,0,3,62919,38836,23
10592,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,3,62919,38836,23
11572,2022-08-01,3,0,98,54,2,4,2,0,0,0,0,16,66211,46412,4169
11572,2022-08-01,3,26,96,54,7,4,2,0,0,0,0,16,66202,46412,4171
13721,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,28,73944,36481,6151
13721,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,28,73944,36477,6152
13728,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,38,47395,26510,9737
13728,2022-08-01,3,36,98,54,7,4,2,0,0,0,0,38,47395,26510,9737
13303,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,28,56602,35173,6321
13303,2022-08-01,3,36,7,54,7,4,2,0,0,0,0,28,56602,35173,6321
13592,2022-08-01,5,0,98,54,7,4,2,0,0,0,0,30,104579,48273,7749
13592,2022-08-01,3,6,22,54,7,4,2,0,0,0,0,30,104579,48273,7258
14941,2022-08-01,3,6,98,54,7,4,2,0,0,0,0,3,91546,57867,392
14941,2022-08-01,5,0,98,54,7,4,2,0,0,0,0,3,91546,57867,392
8380,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,30,68142,21321,7753
8380,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,30,68142,21332,7749
14947,2022-08-01,3,36,98,54,7,4,2,0,0,0,0,38,87431,46552,10273
14947,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,38,87431,46552,10380
10425,2022-08-01,3,6,98,54,7,4,2,0,0,0,0,3,70528,41088,12871
10425,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,3,70528,41088,12871
8694,2022-08-01,3,6,98,54,7,4,2,0,0,0,0,3,80174,21144,392
8694,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,3,80174,21144,392
10437,2022-08-01,2,121,98,54,7,4,2,0,0,0,0,28,71101,35117,5910
10437,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,71101,35117,5910
10458,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,29,79698,44094,6996
10458,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,29,79698,44094,6996
10466,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,16,31316,24991,4101
10466,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,16,31316,24991,4101
10466,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,16,31316,24991,4101
10466,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,16,31316,24991,4101
10601,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,16,110569,44688,4169
10609,2022-08-01,3,0,98,54,1,4,2,0,0,0,0,16,58266,33819,4386
10609,2022-08-01,3,50,95,54,7,4,2,0,0,0,0,16,58266,33819,4421
11686,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,11,89357,66955,2535
11686,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,11,89357,66955,2535
11712,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,3923,1635,6151
11712,2022-08-01,2,88,98,54,7,4,2,0,0,0,0,28,3923,1631,6152
13371,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,104281,50042,6151
13371,2022-08-01,2,88,98,54,7,4,2,0,0,0,0,28,104281,50038,6152
13672,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,11,49111,31487,2661
13672,2022-08-01,3,0,98,54,1,4,2,0,0,0,0,11,49111,31487,2665
5249,2022-08-01,3,32,98,54,7,4,2,0,0,0,0,11,82516,30228,2271
5249,2022-08-01,3,0,98,54,1,4,2,0,0,0,0,11,82516,30228,2271
8276,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,30,67481,11489,7535
8276,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,30,67481,11489,7535
8538,2022-08-01,3,0,98,54,1,4,2,0,0,0,0,37,75594,30169,12649
8538,2022-08-01,3,115,78,51,7,4,2,0,0,0,0,37,75594,30169,12649
12779,2022-08-01,3,6,98,54,7,4,2,0,0,0,0,38,79383,35328,9737
12779,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,38,79383,35328,9737
12214,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,81040,54946,4789
12214,2022-08-01,2,88,98,54,7,4,2,0,0,0,0,28,81040,54946,4789
12214,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,28,83089,56175,4789
12027,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,40,47302,16257,10829
12027,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,40,47302,16257,10829
12293,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,3,57736,29433,23
12293,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,3,57736,29433,385
14139,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,28,31402,6261,6152
14139,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,31402,6265,6151
14172,2022-08-01,3,0,98,54,1,4,2,0,0,0,0,16,50330,20497,4386
14172,2022-08-01,3,19,95,54,7,4,2,0,0,0,0,16,50330,20490,4420
9766,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,10,32734,12684,22
9766,2022-08-01,3,97,98,54,7,4,2,0,0,0,0,10,32734,12684,22
9811,2022-08-01,2,33,98,54,7,4,2,0,0,0,0,29,95272,38737,6794
9811,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,29,95272,38737,6794
12908,2022-08-01,3,6,98,54,7,4,2,0,0,0,0,29,54151,30578,6996
12908,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,29,54151,30578,6996
14619,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,28,16589,6651,6152
14619,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,16306,6363,6151
14619,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,28,16306,6363,6151
9422,2022-08-01,3,6,98,54,7,4,2,0,0,0,0,3,58792,24003,392
9422,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,3,58792,24003,392
9423,2022-08-01,2,37,98,54,7,4,2,0,0,0,0,29,77251,11329,6714
9423,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,29,77251,11329,6642
9108,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,38,78772,29332,10150
9108,2022-08-01,3,97,98,54,7,4,2,0,0,0,0,38,78772,29307,10177
9897,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,28,35880,10895,6152
9897,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,28,35880,10899,6151
11065,2022-08-01,3,6,98,54,7,4,2,0,0,0,0,16,46856,31915,4261
11065,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,16,46856,31964,4254
11252,2022-08-01,3,75,98,54,7,4,2,0,0,0,0,31,,,22
11252,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,31,33929,13011,22
11252,2022-08-01,3,75,98,54,7,4,2,0,0,0,0,31,33929,13011,22
11264,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,38,13829,9747,9737
11264,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,38,13829,9747,9737
11100,2022-08-01,3,19,95,54,7,4,2,0,0,0,0,11,75383,55542,12595
11100,2022-08-01,3,0,98,54,1,4,2,0,0,0,0,11,75383,55542,12595
11124,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,16,83236,53795,4519
11124,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,16,81357,53454,4169
11124,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,16,81357,53454,4247
11124,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,16,83236,53795,4519
11269,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,3,74537,47189,385
11269,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,3,77326,49160,23
11269,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,3,77326,49160,385
11269,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,3,74537,47189,23
11279,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,3,26019,11911,23
11279,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,3,26019,11911,385
11133,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,3,57370,23088,23
11133,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,3,57370,23088,385
12584,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,28,66366,29208,6152
12584,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,28,66366,29212,6151
12845,2022-08-01,3,19,96,54,7,4,2,0,0,0,0,36,101097,47394,12645
12845,2022-08-01,3,0,98,54,4,4,2,0,0,0,0,36,101097,47394,12645
12419,2022-08-01,3,0,98,54,4,4,2,0,0,0,0,11,79553,35704,2199
12419,2022-08-01,5,0,98,54,7,4,2,0,0,0,0,11,79553,35704,2199
12419,2022-08-01,3,6,98,54,7,4,2,0,0,0,0,11,79553,35704,2210
14370,2022-08-01,2,121,98,54,7,4,2,0,0,0,0,40,48956,15491,10846
14370,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,40,48956,15491,10847
14395,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,38,22400,19893,9737
14395,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,38,22400,19893,9737
11896,2022-08-01,2,36,98,54,7,4,2,0,0,0,0,28,57969,40617,4789
11896,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,57969,40617,4789
14431,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,29,101176,38183,6996
14431,2022-08-01,2,88,98,54,7,4,2,0,0,0,0,29,101176,38183,6996
14306,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,68849,33620,4789
14306,2022-08-01,2,33,98,54,7,4,2,0,0,0,0,28,68849,33620,4789
9579,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,28,87850,38596,4790
9579,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,28,87850,38596,4790
9733,2022-08-01,2,94,98,54,7,4,2,0,0,0,0,16,84826,33118,4114
9733,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,16,84826,33118,4114
9763,2022-08-01,3,0,98,54,1,4,2,0,0,0,0,42,44006,20765,11305
10845,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,38,6299,2084,9753
10845,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,38,6299,3253,10522
10845,2022-08-01,2,88,98,54,7,4,2,0,0,0,0,38,6299,2776,10175
10845,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,38,6299,2084,9753
10998,2022-08-01,2,88,98,54,7,4,2,0,0,0,0,40,19384,6916,11040
10998,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,40,19384,6916,10951
12451,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,19040,6167,6151
12451,2022-08-01,2,33,98,54,7,4,2,0,0,0,0,28,19040,6163,6152
15836,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,3,49084,17856,12564
15836,2022-08-01,3,6,19,54,7,4,2,0,0,0,0,3,49084,17856,1221
10081,2022-08-01,3,35,95,54,7,4,2,0,0,0,0,3,47174,14705,594
10122,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,3,16133,9935,23
10122,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,3,16133,9935,385
10128,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,29,79306,30247,6794
10128,2022-08-01,3,6,98,54,7,4,2,0,0,0,0,29,79306,30247,6794
10172,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,16,111176,36289,4247
10172,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,16,111176,36289,4169
11461,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,43,67216,35211,11912
11461,2022-08-01,2,36,98,54,7,4,2,0,0,0,0,43,67216,35211,11970
11461,2022-08-01,3,36,98,54,7,4,2,0,0,0,0,43,67216,35211,11970
11461,2022-08-01,5,0,98,54,7,4,2,0,0,0,0,43,67216,35211,11970
11474,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,29,60383,30293,6794
11474,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,29,60383,30293,6828
11483,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,63671,37650,4789
11496,2022-08-01,3,95,95,54,7,4,2,0,0,0,0,3,44384,12806,162
11496,2022-08-01,3,0,98,54,1,4,2,0,0,0,0,3,44384,12806,162
11519,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,75995,42832,6151
11519,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,28,75995,42828,6152
13086,2022-08-01,3,46,95,54,7,4,2,0,0,0,0,38,21257,11331,9737
13086,2022-08-01,3,0,98,54,1,4,2,0,0,0,0,38,21257,11331,9737
17116,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,38345,14089,6151
17116,2022-08-01,2,102,98,54,7,4,2,0,0,0,0,28,38345,14085,6152
15473,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,38,63583,31502,10522
15473,2022-08-01,2,88,98,54,7,4,2,0,0,0,0,40,62645,31131,11040
15473,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,38,63583,31502,10441
15473,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,40,62645,31131,10951
15553,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,3,86739,55551,23
15553,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,3,86739,55551,385
15561,2022-08-01,2,101,98,54,7,4,2,0,0,0,0,38,20368,11156,10343
15561,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,38,20368,11156,10343
15562,2022-08-01,2,88,98,54,7,4,2,0,0,0,0,28,34940,11753,6152
15562,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,34940,11757,6151
15936,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,29,27439,6990,6642
15936,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,29,27439,6990,6714
15587,2022-08-01,2,101,98,54,7,4,2,0,0,0,0,38,85366,47872,10343
15587,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,38,85366,47872,10343
16920,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,16,98138,45087,4305
16920,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,16,98138,45182,4254
10002,2022-08-01,2,88,98,54,7,4,2,0,0,0,0,28,97314,59624,6152
10002,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,97314,59628,6151
19259,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,16,79178,44254,4519
19259,2022-08-01,3,6,98,54,7,4,2,0,0,0,0,16,79178,44254,4519
11300,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,3,24943,3680,385
11300,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,3,24943,3680,23
11371,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,16,43128,25373,4101
11371,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,3,42017,24624,23
11371,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,16,43128,25373,4101
11371,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,3,42017,24624,385
15612,2022-08-01,3,0,98,54,1,4,2,0,0,0,0,25,30167,19688,12620
15612,2022-08-01,3,95,95,54,7,4,2,0,0,0,0,25,30167,19688,12620
15646,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,3,68621,32388,23
15646,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,3,68621,32388,385
13011,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,16,62870,37313,4247
13011,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,16,62870,37313,4169
19987,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,28,45618,17118,6152
19987,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,45618,17122,6151
20006,2022-08-01,5,0,98,54,7,4,2,0,0,0,0,29,80032,57245,6642
20006,2022-08-01,3,0,98,54,1,4,2,0,0,0,0,25,80032,56367,5295
20006,2022-08-01,2,37,98,54,7,4,2,0,0,0,0,29,80032,57245,6642
20006,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,29,80032,57245,6642
20006,2022-08-01,3,125,98,54,7,4,2,0,0,0,0,29,80032,57212,6642
16197,2022-08-01,2,82,98,54,7,4,2,0,0,0,0,29,68945,12177,7014
16197,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,29,68945,12188,7004
17438,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,16,82093,58280,4386
17438,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,16,82093,58280,4421
17438,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,3,80982,58280,385
17438,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,3,80982,58280,385
17478,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,28,92629,48208,6151
17478,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,28,92629,48204,6152
17757,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,38,25989,14247,9737
17757,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,38,25989,14247,9737
17262,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,38,17911,4079,10016
17262,2022-08-01,3,97,98,54,7,4,2,0,0,0,0,38,17911,4079,10016
17277,2022-08-01,3,36,98,54,7,4,2,0,0,0,0,38,85515,35385,9737
17277,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,38,85515,35385,9737
17501,2022-08-01,3,36,98,54,7,4,2,0,0,0,0,38,64057,30355,9737
17501,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,38,64057,30355,9737
20045,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,38,63035,28401,9737
20045,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,38,63035,28401,9737
15019,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,40,83250,38643,10951
15019,2022-08-01,2,88,98,54,7,4,2,0,0,0,0,40,83250,38643,11040
15057,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,16,92840,35179,4169
15057,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,16,92840,35179,4247
20060,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,11,95781,57158,2535
20060,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,11,95781,57158,2535
20063,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,16,34927,21829,4247
20063,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,16,34927,21829,4169
20102,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,28,73194,41697,6152
20102,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,28,73194,41701,6151
19911,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,3,100346,46984,385
19911,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,3,100346,46984,23
19708,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,3,27805,11360,162
19708,2022-08-01,2,76,98,54,7,4,2,0,0,0,0,3,27805,11360,162
17792,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,38,50867,28225,10016
17792,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,38,50867,28225,10016
17792,2022-08-01,2,32,98,54,7,4,2,0,0,0,0,28,54419,28225,6152
17792,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,54419,28229,6151
19767,2022-08-01,3,0,98,54,1,4,2,0,0,0,0,29,77437,37201,6794
19767,2022-08-01,3,58,95,54,7,4,2,0,0,0,0,29,77437,37201,6794
19810,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,30,95543,39431,7749
19810,2022-08-01,2,36,98,54,7,4,2,0,0,0,0,30,95543,39431,7228
19476,2022-08-01,3,0,98,54,1,4,2,0,0,0,0,37,64000,20878,9367
19476,2022-08-01,3,37,98,54,7,4,2,0,0,0,0,37,64000,20878,9367
16439,2022-08-01,3,66,1,54,7,4,2,0,0,0,0,28,49829,19215,6526
16439,2022-08-01,3,0,98,54,4,4,2,0,0,0,0,28,49829,19215,6526
16115,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,3,74410,39861,392
16115,2022-08-01,3,6,98,54,7,4,2,0,0,0,0,3,74410,39861,392
16129,2022-08-01,2,94,98,54,7,4,2,0,0,0,0,11,10759,4244,12595
16129,2022-08-01,2,0,98,54,4,4,2,0,0,0,0,11,10759,4244,12595
17413,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,38,28155,14788,10375
17697,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,29,89937,50620,6996
17697,2022-08-01,3,2,98,54,7,4,2,0,0,0,0,29,89937,50620,6996
21466,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,38,20387,8371,9737
21466,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,38,20387,8371,9737
21475,2022-08-01,2,101,98,54,7,4,2,0,0,0,0,38,98850,52834,10343
21475,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,38,98850,52834,10343
15219,2022-08-01,5,0,98,54,7,4,2,0,0,0,0,11,69526,45635,2858
15219,2022-08-01,2,88,98,54,7,4,2,0,0,0,0,11,69526,45635,2935
15219,2022-08-01,3,0,98,54,7,4,2,0,0,0,0,11,69526,45618,2858
15219,2022-08-01,3,6,98,54,7,4,2,0,0,0,0,11,69526,45618,2858
20317,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,90891,49845,4789
20317,2022-08-01,2,88,98,54,7,4,2,0,0,0,0,28,90891,49845,4789
20531,2022-08-01,2,102,98,54,7,4,2,0,0,0,0,3,72447,42506,594
20531,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,3,72447,42506,594
15265,2022-08-01,3,0,98,54,1,4,2,0,0,0,0,38,97123,45399,10150
15265,2022-08-01,3,10,95,54,7,4,2,0,0,0,0,38,96337,45399,10150
15274,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,3,78975,38733,23
15274,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,3,78975,38733,385
21514,2022-08-01,2,88,98,54,7,4,2,0,0,0,0,38,8202,6251,10348
21365,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,76084,52238,6151
21365,2022-08-01,2,32,98,54,7,4,2,0,0,0,0,28,76084,52234,6152
21365,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,28,75530,51957,4789
21365,2022-08-01,2,95,98,54,7,4,2,0,0,0,0,28,75530,51957,4789
21536,2022-08-01,2,0,98,54,7,4,2,0,0,0,0,11,85181,37728,2657
