,wagnum,model,rod_id,gruz,cnsi_gruz_capacity,cnsi_volumek,tara,date_build,srok_sl,zavod_build,date_iskl,cnsi_probeg_dr,cnsi_probeg_kr,kuzov,telega,tormoz,tipvozd,tippogl,norma_km
4547,5881,11-276,0,680,680,122.0,260,776563200,1714348800,1,1,110,160,2,9,2,4,11,160000
4549,6997,11-280,0,680,680,138.0,260,756172800,1763251200,1,1,110,160,2,9,2,1,11,160000
4666,6426,11-276,0,680,680,122.0,260,719193600,1778803200,1,1,110,160,2,9,3,1,2,160000
4801,5891,11-276,0,680,680,122.0,260,769564800,1753142400,1,1,110,160,2,9,3,1,11,110000
4838,6381,11-276,0,680,680,122.0,260,702172800,1724284800,1,1,110,160,2,9,2,1,2,110000
4877,6999,11-280,0,680,680,138.0,260,742867200,1752537600,1,1,110,160,2,9,2,1,1,0
4930,6990,11-280,0,680,680,138.0,260,720921600,1795824000,1,1,110,160,2,9,2,1,11,160000
5018,6584,11-280,0,680,680,138.0,260,804211200,1799020800,1,1,110,160,2,9,2,1,3,160000
5057,5880,11-276,0,680,680,122.0,260,728179200,1822780800,1,1,110,160,2,9,3,1,2,160000
5138,6968,11-280,0,680,680,138.0,260,745545600,1718582400,1,1,110,160,2,9,2,1,11,110000
5273,6409,11-276,0,680,680,122.0,244,696729600,1738195200,1,1,110,160,2,9,3,1,2,110000
5336,6418,11-276,0,680,680,122.0,260,768182400,1730160000,1,1,110,160,2,9,2,1,2,0
5346,6389,11-276,0,680,680,122.0,260,672278400,1665273600,1,0,110,160,2,9,2,4,11,110000
5377,6976,11-280,0,680,680,138.0,260,675561600,1739836800,1,1,110,160,2,9,2,1,11,110000
5542,6405,11-276,0,680,680,122.0,260,655516800,1731456000,1,0,110,160,2,9,3,1,1,110000
5543,6463,11-276,0,680,680,122.0,260,719452800,1719360000,1,1,110,160,2,9,3,6,11,160000
5580,6682,11-280,0,680,680,138.0,260,729561600,1789603200,1,1,110,160,2,9,3,1,11,0
5602,6459,11-276,0,680,680,122.0,260,768441600,1760918400,1,1,110,160,2,9,3,1,1,0
5715,6597,11-280,0,680,680,138.0,260,721267200,1777334400,1,1,110,160,2,9,2,1,11,110000
6014,6455,11-276,0,680,680,122.0,244,767750400,1757808000,1,1,110,160,2,9,2,1,11,160000
6049,5888,11-276,0,680,680,122.0,260,731116800,1770854400,1,1,110,160,2,9,3,1,11,110000
6119,6399,11-276,0,680,680,122.0,251,706233600,1761091200,1,1,110,160,2,9,2,1,11,0
6238,6386,11-276,0,680,680,122.0,260,703987200,1676592000,1,0,110,160,2,9,3,1,1,110000
6266,7002,11-280,0,680,680,138.0,260,709862400,1790380800,1,1,110,160,2,9,2,1,11,110000
6403,6388,11-276,0,680,680,122.0,260,687744000,1689897600,1,1,110,160,2,9,3,1,1,160000
6446,6472,11-276,0,680,680,122.0,260,707788800,1754179200,1,1,110,160,2,9,3,1,2,110000
6447,5921,11-276,0,680,680,122.0,260,727920000,1761696000,1,1,110,160,2,9,3,1,11,110000
6913,6996,11-280,0,680,680,138.0,260,719971200,1686528000,1,1,110,160,2,9,2,1,11,160000
7113,6401,11-276,0,680,680,122.0,260,704764800,1754611200,1,1,110,160,2,9,3,1,2,0
7349,6678,11-280,0,680,680,138.0,260,680486400,1770508800,1,1,110,160,2,9,2,1,1,0
7378,6983,11-280,0,680,680,138.0,260,706665600,1781308800,1,1,110,160,2,9,2,1,1,110000
7405,16483,11-270,0,688,688,122.0,240,758160000,1732492800,1,1,110,160,2,9,2,1,2,160000
7493,6470,11-276,0,680,680,122.0,260,733795200,1762646400,1,1,110,160,2,9,3,1,2,0
7504,6451,11-276,0,680,680,122.0,244,756000000,1768953600,1,1,110,160,2,9,2,1,1,160000
7569,16056,11-280,0,680,680,138.0,260,698716800,1731369600,1,1,110,160,2,9,2,1,11,110000
7789,16506,11-270,0,688,688,122.0,240,736905600,1739232000,1,1,110,160,2,9,2,1,2,160000
8322,7004,11-280,0,680,680,138.0,260,768787200,1698364800,1,1,110,160,2,9,2,1,3,110000
8450,5901,11-276,0,680,680,122.0,246,767923200,1739491200,1,1,110,160,2,9,2,1,11,160000
8795,6420,11-276,0,680,680,122.0,244,754876800,1750032000,1,1,110,160,2,9,2,1,2,0
8797,6681,11-280,0,680,680,138.0,260,739843200,1742947200,1,1,110,160,2,9,3,1,1,160000
8820,6391,11-276,0,680,680,122.0,260,679795200,1696896000,1,1,110,160,2,9,3,1,1,160000
9111,5879,11-276,0,680,680,122.0,260,775094400,1781395200,1,1,110,160,2,9,3,1,11,110000
9157,5942,11-276,0,680,680,122.0,260,738460800,1768608000,1,1,110,160,2,9,3,1,2,160000
9334,5319,11-276,0,680,680,122.0,260,684979200,1773187200,1,1,110,160,2,9,2,1,2,0
9547,6593,11-280,0,680,680,138.0,260,721353600,1725148800,1,1,110,160,2,9,2,1,1,110000
9609,6972,11-280,0,680,680,138.0,260,748137600,1705968000,1,1,110,160,2,9,2,1,11,110000
9708,6973,11-280,0,680,680,138.0,260,735264000,1677456000,1,1,110,160,2,9,2,1,2,160000
9856,6419,11-276,0,680,680,122.0,244,757468800,1773792000,1,1,110,160,2,9,2,1,2,110000
10007,6447,11-276,0,680,680,122.0,260,670982400,1765670400,1,1,110,160,2,9,2,1,1,0
10090,6679,11-280,0,680,680,138.0,260,718934400,1705795200,1,1,110,160,2,9,3,1,1,110000
10176,6476,11-276,0,680,680,122.0,260,758764800,1781654400,1,1,110,160,2,9,3,1,2,0
10194,6480,11-280,0,680,680,138.0,260,721094400,1715126400,1,1,110,160,2,9,2,1,11,110000
10239,5931,11-276,0,680,680,122.0,260,807840000,1821916800,1,1,110,160,2,9,2,1,2,160000
10398,6474,11-276,0,680,680,122.0,260,775440000,1737763200,1,1,110,160,2,9,3,1,2,0
10488,6969,11-280,0,680,680,138.0,260,782524800,1715558400,1,1,110,160,2,9,2,1,2,160000
10506,5917,11-276,0,680,680,122.0,260,715737600,1764720000,1,1,110,160,2,9,3,1,2,0
10580,6382,11-276,0,680,680,122.0,260,738115200,1692144000,1,1,110,160,2,9,3,1,1,0
10591,16527,11-270,0,688,688,122.0,240,738288000,1779235200,1,1,110,160,2,9,2,1,1,0
10630,7001,11-280,0,680,680,138.0,260,725587200,1741392000,1,1,110,160,2,9,2,1,1,160000
10810,5905,11-276,0,680,680,122.0,260,697939200,1743292800,1,1,110,160,2,9,2,1,1,110000
10863,7005,11-280,0,680,680,138.0,260,724896000,1790467200,1,1,110,160,2,9,2,1,1,160000
10866,5907,11-276,0,680,680,122.0,260,790819200,1777248000,1,1,110,160,2,9,3,1,1,160000
10885,6424,11-276,0,680,680,122.0,260,736128000,1765411200,1,1,110,160,2,9,3,1,2,110000
11024,6384,11-276,0,680,680,122.0,260,728611200,1666483200,1,1,110,160,2,9,3,1,2,0
11084,6338,11-276,0,680,680,122.0,260,705283200,1768262400,1,1,110,160,2,9,3,1,2,160000
11254,5876,11-276,0,680,680,122.0,260,755827200,1805241600,1,1,110,160,2,9,2,1,1,110000
11269,5898,11-276,0,680,680,122.0,244,789955200,1805587200,1,1,110,160,2,9,2,1,11,160000
11313,6330,11-276,0,680,680,122.0,260,672710400,1711411200,1,0,110,160,2,9,2,4,2,160000
11321,6706,11-280,0,680,680,138.0,260,776995200,1750723200,1,1,110,160,2,9,2,1,5,160000
11465,6692,11-280,0,680,680,138.0,260,760320000,1792454400,1,1,110,160,2,9,2,1,1,160000
11677,17969,11-276,0,680,680,122.0,260,728956800,1708041600,1,1,110,160,2,9,2,1,2,160000
11694,6333,11-276,0,680,680,122.0,260,707702400,1704153600,1,0,110,160,2,9,3,1,11,160000
11719,6394,11-276,0,680,680,122.0,260,733276800,1742256000,1,0,110,160,2,9,3,1,12,160000
11866,5903,11-276,0,680,680,122.0,260,745459200,1759622400,1,1,110,160,2,9,3,1,1,160000
11928,5900,11-276,0,680,680,122.0,260,720576000,1739491200,1,1,110,160,2,9,3,1,1,160000
12065,6998,11-280,0,680,680,138.0,260,736819200,1727827200,1,1,110,160,2,9,2,1,1,160000
12169,6404,11-276,0,680,680,122.0,260,679017600,1697846400,1,0,110,160,2,9,3,1,1,110000
12242,5944,11-276,0,680,680,122.0,260,704678400,1775174400,1,1,110,160,2,9,3,1,2,160000
12342,5908,11-276,0,680,680,122.0,260,751334400,1738540800,1,1,110,160,2,9,3,1,1,160000
12462,6603,11-280,0,680,680,138.0,260,796780800,1716595200,1,1,110,160,2,9,2,1,13,160000
12478,6583,11-280,0,680,680,138.0,260,780883200,1784851200,1,1,110,160,2,9,2,1,3,110000
12486,5936,11-276,0,680,680,122.0,260,728179200,1813104000,1,1,110,160,2,9,3,1,2,110000
12521,6980,11-280,0,680,680,138.0,260,752371200,1705449600,1,1,110,160,2,9,2,1,2,160000
12532,6449,11-276,0,680,680,122.0,260,752544000,1717372800,1,1,110,160,2,9,2,1,11,160000
13076,6457,11-276,0,680,680,122.0,260,749001600,1757808000,1,1,110,160,2,9,3,4,1,110000
13085,6462,11-276,0,680,680,122.0,260,723772800,1777420800,1,1,110,160,2,9,3,1,1,110000
13121,6450,11-276,0,680,680,122.0,244,690940800,1700611200,1,1,110,160,2,9,2,1,2,110000
13131,6428,11-276,0,680,680,122.0,260,738288000,1747958400,1,1,110,160,2,9,3,1,11,160000
13268,6458,11-276,0,680,680,122.0,260,722217600,1787011200,1,1,110,160,2,9,2,1,11,160000
13439,6422,11-276,0,680,680,122.0,244,760924800,1745452800,1,1,110,160,2,9,3,4,11,110000
13441,5392,11-276,0,680,680,122.0,244,732326400,1735862400,1,1,110,160,2,9,3,1,11,160000
13588,6598,11-280,0,680,680,138.0,260,773020800,1763769600,1,1,110,160,2,9,2,1,11,160000
13707,6336,11-276,0,680,680,122.0,260,726796800,1786060800,1,1,110,160,2,9,3,1,2,0
13721,6607,11-280,0,680,680,138.0,260,762393600,1768608000,1,1,110,160,2,9,2,1,2,160000
13820,6595,11-280,0,680,680,138.0,260,773366400,1734480000,1,1,110,160,2,9,2,1,1,110000
13989,6439,11-276,0,680,680,122.0,244,673920000,1757462400,1,1,110,160,2,9,2,1,2,110000
14205,6414,11-276,0,680,680,122.0,244,689817600,1700956800,1,1,110,160,2,9,2,1,2,0
14206,6332,11-276,0,680,680,122.0,260,659836800,1746921600,1,1,110,160,2,9,3,1,2,0
14223,5919,11-276,0,680,680,122.0,260,771379200,1714608000,1,1,110,160,2,9,3,1,2,160000
14312,6471,11-276,0,680,680,122.0,260,723340800,1767916800,1,1,110,160,2,9,3,1,2,160000
14350,16474,11-270,0,688,688,122.0,240,721094400,1746576000,1,1,110,160,2,9,3,6,11,0
14367,6407,11-276,0,680,680,122.0,244,714441600,1787356800,1,1,110,160,2,9,2,1,11,0
14422,7014,11-280,0,680,680,138.0,247,712281600,1726012800,1,1,110,160,2,9,2,1,1,160000
14434,6392,11-276,0,680,680,122.0,260,702259200,1670112000,1,1,110,160,2,9,2,1,11,160000
14472,5340,11-276,0,680,680,122.0,260,791424000,1782691200,1,1,110,160,2,9,2,1,2,0
14496,5928,11-276,0,680,680,122.0,260,712713600,1768089600,1,1,110,160,2,9,2,1,11,160000
14707,6993,11-280,0,680,680,138.0,260,695347200,1744848000,1,1,110,160,2,9,2,1,11,110000
14794,6334,11-276,0,680,680,122.0,260,682041600,1754870400,1,1,110,160,2,9,3,1,2,160000
14811,16479,11-270,0,688,688,122.0,240,655689600,1765065600,1,1,110,160,2,9,2,1,11,160000
15196,6411,11-276,0,680,680,122.0,260,669254400,1719619200,1,1,110,160,2,9,2,1,1,160000
15269,6397,11-276,0,680,680,122.0,260,739843200,1681430400,1,0,110,160,2,9,3,1,2,110000
15275,5934,11-276,0,680,680,122.0,260,750470400,1736812800,1,1,110,160,2,9,3,1,2,160000
15279,6339,11-276,0,680,680,122.0,260,719539200,1674864000,1,1,110,160,2,9,3,1,2,110000
15431,16536,11-270,0,688,688,122.0,240,768009600,1760918400,1,1,110,160,2,9,2,1,2,160000
16140,6421,11-276,0,680,680,122.0,244,779846400,1762992000,1,1,110,160,2,9,2,1,1,110000
16206,6413,11-276,0,680,680,122.0,244,718416000,1724371200,1,1,110,160,2,9,2,1,1,160000
16275,5886,11-276,0,680,680,122.0,260,813110400,1766448000,1,1,110,160,2,9,3,1,1,110000
16311,16033,11-280,0,680,680,138.0,260,737769600,1768003200,1,1,110,160,2,9,2,1,2,0
16597,6991,11-280,0,680,680,138.0,260,778032000,1694131200,1,1,110,160,2,9,2,1,11,160000
16967,6478,11-276,0,680,680,122.0,260,731203200,1734393600,1,1,110,160,2,9,3,1,2,0
17000,6448,11-276,0,680,680,122.0,260,680313600,1753056000,1,1,110,160,2,9,3,1,2,0
17104,6970,11-280,0,680,680,138.0,260,747619200,1764892800,1,1,110,160,2,9,2,1,1,110000
17587,5893,11-276,0,680,680,122.0,260,692755200,1739145600,1,1,110,160,2,9,3,1,11,160000
17740,6461,11-276,0,680,680,122.0,260,794793600,1805328000,1,1,110,160,2,9,3,1,11,160000
17790,6430,11-276,0,680,680,122.0,260,722822400,1711670400,1,1,110,160,2,9,3,1,2,0
18027,6684,11-280,0,680,680,138.0,260,723686400,1666224000,1,1,110,160,2,9,3,1,11,110000
18210,5941,11-276,0,680,680,122.0,260,693532800,1825200000,1,1,110,160,2,9,3,1,2,0
18223,6977,11-280,0,680,680,138.0,260,775699200,1741305600,1,1,110,160,2,9,2,1,1,0
18404,6417,11-276,0,680,680,122.0,244,733017600,1751760000,1,1,110,160,2,9,2,1,2,110000
18445,6400,11-276,0,680,680,122.0,260,687571200,1739923200,1,1,110,160,2,9,2,1,11,110000
18568,6395,11-276,0,680,680,122.0,260,725241600,1740441600,1,1,110,160,2,9,3,1,2,0
18619,16476,11-270,0,688,688,122.0,240,766454400,1729382400,1,1,110,160,2,9,2,1,2,110000
18641,6393,11-276,0,680,680,122.0,260,775440000,1734998400,1,1,110,160,2,9,3,1,1,160000
18665,6441,11-276,0,680,680,122.0,244,728870400,1746144000,1,1,110,160,2,9,2,1,2,160000
18750,6982,11-280,0,680,680,138.0,260,746236800,1722038400,1,1,110,160,2,9,2,1,11,160000
18820,6318,11-276,0,680,680,122.0,260,726624000,1735171200,1,0,110,160,2,9,3,1,1,160000
19065,16509,11-270,0,688,688,122.0,242,721872000,1722384000,1,1,110,160,2,9,2,4,11,110000
19100,6987,11-280,0,680,680,138.0,260,683510400,1675987200,1,1,110,160,2,9,2,1,2,110000
19147,5874,11-276,0,680,680,122.0,260,783043200,1742947200,1,1,110,160,2,9,2,1,1,160000
19150,6425,11-276,0,680,680,122.0,260,767577600,1703980800,1,1,110,160,2,9,3,1,2,160000
19247,6416,11-276,0,680,680,122.0,244,710985600,1752192000,1,1,110,160,2,9,2,1,1,110000
19437,16523,11-270,0,688,688,122.0,240,780451200,1747699200,1,1,110,160,2,9,2,1,2,110000
19446,6427,11-276,0,680,680,122.0,260,729302400,1699488000,1,1,110,160,2,9,3,1,11,110000
19640,6452,11-276,0,680,680,122.0,244,778636800,1777507200,1,1,110,160,2,9,2,1,1,0
19743,5943,11-276,0,680,680,122.0,260,699926400,1768780800,1,1,110,160,2,9,3,1,11,110000
19955,6696,11-280,0,680,680,138.0,260,707788800,1739232000,1,1,110,160,2,9,2,4,1,160000
20070,6467,11-276,0,680,680,122.0,260,713404800,1740960000,1,1,110,160,2,9,3,1,2,0
20217,16503,11-270,0,688,688,122.0,240,687312000,1783555200,1,1,110,160,2,9,2,1,3,0
20327,16482,11-270,0,688,688,122.0,240,775094400,1722211200,1,1,110,160,2,9,2,1,2,0
20347,6410,11-276,0,680,680,122.0,260,716428800,1768435200,1,1,110,160,2,9,2,1,1,160000
20614,6701,11-280,0,680,680,138.0,260,768787200,1811462400,1,1,110,160,2,9,2,1,1,160000
20697,5902,11-276,0,680,680,122.0,260,760406400,1783814400,1,1,110,160,2,9,3,1,1,160000
20792,5909,11-276,0,680,680,122.0,260,812073600,1793836800,1,1,110,160,2,9,3,1,1,110000
20848,16515,11-270,0,688,688,122.0,240,748483200,1740787200,1,1,110,160,2,9,2,1,11,110000
21010,17988,11-276,0,680,680,122.0,260,678499200,1709078400,1,1,110,160,2,9,2,1,11,110000
21023,5899,11-276,0,680,680,122.0,260,770860800,1703894400,1,1,110,160,2,9,3,1,1,110000
21103,6699,11-280,0,680,680,138.0,260,750384000,1802649600,1,1,110,160,2,9,2,6,2,110000
21312,6328,11-276,0,680,680,122.0,260,706752000,1755302400,1,0,110,160,2,9,3,1,11,0
21861,6979,11-280,0,680,680,138.0,260,695433600,1756166400,1,1,110,160,2,9,2,1,2,0
21988,6974,11-280,0,680,680,138.0,260,743212800,1780099200,1,1,110,160,2,9,2,4,11,110000
22015,6383,11-276,0,680,680,122.0,260,708048000,1738627200,1,1,110,160,2,9,3,1,11,160000
22016,6708,11-280,0,680,680,138.0,260,750124800,1734998400,1,1,110,160,2,9,2,1,1,160000
22162,7003,11-280,0,680,680,138.0,260,790905600,1770163200,1,1,110,160,2,9,2,1,11,110000
22284,6992,11-280,0,680,680,138.0,260,746496000,1777766400,1,1,110,160,2,9,2,1,11,110000
22438,35,11-276,0,680,680,122.0,254,739584000,1808352000,1,1,110,160,2,9,3,6,15,160000
22563,6373,11-276,0,680,680,122.0,260,726278400,1719619200,1,1,110,160,2,9,2,1,1,110000
22584,6337,11-276,0,680,680,122.0,260,747532800,1746489600,1,1,110,160,2,9,3,1,2,160000
22632,16108,11-280,0,680,680,138.0,260,790560000,1782950400,1,1,110,160,2,9,2,1,11,110000
22645,6390,11-276,0,680,680,122.0,260,692236800,1703116800,1,1,110,160,2,9,2,1,11,110000
22723,6687,11-280,0,680,680,138.0,260,761097600,1728518400,1,1,110,160,2,9,2,1,3,110000
22907,5318,11-276,0,680,680,122.0,260,678412800,1748390400,1,0,110,160,2,9,2,1,2,0
23450,5894,11-276,0,680,680,122.0,244,756172800,1702425600,1,1,110,160,2,9,2,1,11,110000
23518,5923,11-276,0,680,680,122.0,244,756950400,1819411200,1,1,110,160,2,9,3,1,11,160000
23597,5927,11-276,0,680,680,122.0,260,717552000,1742860800,1,1,110,160,2,9,2,1,2,160000
23606,6444,11-276,0,680,680,122.0,260,720662400,1760140800,1,1,110,160,2,9,2,6,11,0
23786,5869,11-276,0,680,680,122.0,260,776476800,1704326400,1,1,110,160,2,9,3,4,11,110000
23864,6327,11-276,0,680,680,122.0,260,693014400,1654905600,1,0,110,160,2,9,3,1,1,160000
23908,6371,11-276,0,680,680,122.0,260,733363200,1705190400,1,0,110,160,2,9,3,1,2,160000
24254,6460,11-276,0,680,680,122.0,260,759456000,1786060800,1,1,110,160,2,9,3,1,2,110000
24312,5316,11-276,0,680,680,122.0,244,771465600,1680998400,1,1,110,160,2,9,3,1,11,160000
24537,6445,11-276,0,680,680,122.0,244,687225600,1698105600,1,1,110,160,2,9,2,1,2,110000
24571,6680,11-280,0,680,680,138.0,260,728524800,1718928000,1,1,110,160,2,9,3,1,1,110000
24733,16057,11-280,0,680,680,138.0,260,726883200,1720742400,1,1,110,160,2,9,2,1,2,0
24906,5889,11-276,0,680,680,122.0,260,766627200,1716768000,1,1,110,160,2,9,3,1,1,160000
24924,6483,11-280,0,680,680,138.0,260,700099200,1732060800,1,1,110,160,2,9,2,1,11,160000
24941,5932,11-276,0,680,680,122.0,260,756086400,1794096000,1,1,110,160,2,9,2,1,2,160000
24946,6975,11-280,0,680,680,138.0,260,727574400,1760832000,1,1,110,160,2,9,2,1,2,0
24996,6572,11-280,0,680,680,138.0,260,731808000,1777334400,1,1,110,160,2,9,2,1,11,0
25033,6423,11-276,0,680,680,122.0,260,741312000,1783209600,1,1,110,160,2,9,3,1,1,110000
25089,6465,11-276,0,680,680,122.0,244,705888000,1767484800,1,1,110,160,2,9,2,1,11,110000
25132,5341,11-276,0,680,680,122.0,244,708998400,1720396800,1,1,110,160,2,9,2,1,2,160000
25268,6986,11-280,0,680,680,138.0,260,669340800,1721433600,1,1,110,160,2,9,2,1,2,0
25318,6988,11-280,0,680,680,138.0,260,703555200,1701043200,1,1,110,160,2,9,2,1,2,160000
25389,16530,11-270,0,688,688,122.0,240,726105600,1740960000,1,1,110,160,2,9,2,1,2,0
25518,6326,11-276,0,680,680,122.0,260,701395200,1724457600,1,0,110,160,2,9,3,1,2,160000
25800,6594,11-280,0,680,680,138.0,260,730944000,1704931200,1,1,110,160,2,9,2,1,11,110000
25882,6398,11-276,0,680,680,122.0,260,728179200,1705190400,1,1,110,160,2,9,3,1,2,0
25942,15942,11-280,0,680,680,138.0,260,723168000,1726963200,1,1,110,160,2,9,2,7,11,160000
25965,6965,11-280,0,680,680,138.0,260,714182400,1760832000,1,1,110,160,2,9,2,1,1,110000
26088,6408,11-276,0,680,680,122.0,244,705888000,1692057600,1,1,110,160,2,9,2,1,11,160000
26408,6464,11-276,0,680,680,122.0,260,765763200,1743638400,1,1,110,160,2,9,3,1,11,160000
26731,6685,11-280,0,680,680,138.0,260,685152000,1735776000,1,1,110,160,2,9,2,1,7,160000
26739,5918,11-276,0,680,680,122.0,260,811209600,1733702400,1,1,110,160,2,9,2,1,11,110000
26746,5957,11-276,0,680,680,122.0,260,754876800,1762560000,1,1,110,160,2,9,3,1,2,110000
26783,6579,11-280,0,680,680,138.0,260,700272000,1787011200,1,1,110,160,2,9,2,1,1,0
26803,5871,11-276,0,680,680,122.0,260,722390400,1709856000,1,1,110,160,2,9,2,1,11,160000
26940,6429,11-276,0,680,680,122.0,260,785721600,1778025600,1,1,110,160,2,9,2,1,2,110000
26970,5395,11-276,0,680,680,122.0,260,740793600,1803254400,1,1,110,160,2,9,3,1,1,0
27065,6469,11-276,0,680,680,122.0,260,715737600,1760400000,1,1,110,160,2,9,3,1,11,110000
27284,6454,11-276,0,680,680,122.0,244,698803200,1707696000,1,1,110,160,2,9,2,1,11,110000
27627,5915,11-276,0,680,680,122.0,260,752976000,1750118400,1,1,110,160,2,9,3,1,11,160000
27634,18008,11-276,0,680,680,122.0,260,742780800,1751673600,1,1,110,160,2,9,3,1,2,0
27699,6396,11-276,0,680,680,122.0,249,743644800,1735430400,1,0,110,160,2,9,2,1,11,110000
27856,17986,11-276,0,680,680,122.0,244,697334400,1700092800,1,0,110,160,2,9,2,1,11,110000
28493,5343,11-276,0,680,680,122.0,260,769132800,1815004800,1,1,110,160,2,9,2,1,2,0
28575,6710,11-280,0,680,680,138.0,260,728870400,1727913600,1,1,110,160,2,9,2,1,2,160000
28712,16075,11-280,0,680,680,138.0,260,690336000,1708992000,1,1,110,160,2,9,2,1,11,160000
28942,6683,11-280,0,680,680,138.0,260,702345600,1720483200,1,1,110,160,2,9,3,1,11,110000
29037,6335,11-276,0,680,680,122.0,260,764035200,1665878400,1,0,110,160,2,9,3,1,11,110000
29087,6707,11-280,0,680,680,138.0,260,760320000,1787356800,1,1,110,160,2,9,2,1,11,110000
29472,17881,11-276,0,680,680,122.0,260,769996800,1777248000,1,1,110,160,2,9,2,1,1,110000
29485,16477,11-270,0,688,688,122.0,240,697420800,1765756800,1,1,110,160,2,9,2,1,11,160000
