,wagnum,month,target_month,target_day
93,8557,2023-03-01,1,1
94,9058,2023-03-01,1,1
95,9692,2023-03-01,1,1
96,18338,2023-03-01,1,1
97,20738,2023-03-01,1,1
98,21199,2023-03-01,1,1
99,21330,2023-03-01,1,1
100,21336,2023-03-01,1,1
101,21764,2023-03-01,1,1
102,27588,2023-03-01,1,1
103,28477,2023-03-01,1,1
104,28775,2023-03-01,1,1
105,29150,2023-03-01,1,1
106,33176,2023-03-01,1,1
107,33178,2023-03-01,1,1
108,33324,2023-03-01,1,1
109,33347,2023-03-01,1,1
110,8095,2023-03-01,1,1
111,10524,2023-03-01,1,1
112,10938,2023-03-01,1,1
113,13674,2023-03-01,1,1
114,16228,2023-03-01,1,1
115,21244,2023-03-01,1,1
116,24266,2023-03-01,1,1
117,24769,2023-03-01,1,1
118,27400,2023-03-01,1,1
119,28352,2023-03-01,1,1
120,28385,2023-03-01,1,1
121,28856,2023-03-01,1,1
122,31796,2023-03-01,1,1
123,673,2023-03-01,1,1
124,1011,2023-03-01,1,1
125,1155,2023-03-01,1,1
126,1652,2023-03-01,1,1
127,1729,2023-03-01,1,1
128,1798,2023-03-01,1,1
129,1809,2023-03-01,1,1
130,1956,2023-03-01,1,1
131,2360,2023-03-01,1,1
132,2419,2023-03-01,1,1
133,2178,2023-03-01,1,1
134,2185,2023-03-01,1,1
135,2189,2023-03-01,1,1
136,2192,2023-03-01,1,1
137,2199,2023-03-01,1,1
138,2203,2023-03-01,1,1
139,2205,2023-03-01,1,1
140,2207,2023-03-01,1,1
141,2208,2023-03-01,1,1
142,2213,2023-03-01,1,1
143,2214,2023-03-01,1,1
144,2221,2023-03-01,1,1
145,2226,2023-03-01,1,1
146,2229,2023-03-01,1,1
147,2231,2023-03-01,1,1
148,2232,2023-03-01,1,1
149,2236,2023-03-01,1,1
150,2239,2023-03-01,1,1
151,2243,2023-03-01,1,1
152,2249,2023-03-01,1,1
153,2250,2023-03-01,1,1
154,1127,2023-03-01,1,1
155,1139,2023-03-01,1,1
156,1145,2023-03-01,1,1
157,1147,2023-03-01,1,1
158,1150,2023-03-01,1,1
159,1157,2023-03-01,1,1
160,1159,2023-03-01,1,1
161,1160,2023-03-01,1,1
162,1165,2023-03-01,1,1
163,1169,2023-03-01,1,1
164,1170,2023-03-01,1,1
165,1173,2023-03-01,1,1
166,1174,2023-03-01,1,1
167,1177,2023-03-01,1,1
168,1419,2023-03-01,1,1
169,1424,2023-03-01,1,1
170,1429,2023-03-01,1,1
171,1446,2023-03-01,1,1
172,1449,2023-03-01,1,1
173,1455,2023-03-01,1,1
174,33919,2023-03-01,1,1
175,2263,2023-03-01,1,1
176,2265,2023-03-01,1,1
177,2269,2023-03-01,1,1
178,2270,2023-03-01,1,1
179,2272,2023-03-01,1,1
180,2273,2023-03-01,1,1
181,2279,2023-03-01,1,1
182,2285,2023-03-01,1,1
183,2288,2023-03-01,1,1
184,2289,2023-03-01,1,1
185,2291,2023-03-01,1,1
186,2294,2023-03-01,1,1
187,2298,2023-03-01,1,1
188,2299,2023-03-01,1,1
189,2304,2023-03-01,1,1
190,2307,2023-03-01,1,1
191,2313,2023-03-01,1,1
192,2321,2023-03-01,1,1
193,2324,2023-03-01,1,1
194,2328,2023-03-01,1,1
195,2331,2023-03-01,1,1
196,2333,2023-03-01,1,1
197,1456,2023-03-01,1,1
198,1460,2023-03-01,1,1
199,1461,2023-03-01,1,1
200,1475,2023-03-01,1,1
201,1595,2023-03-01,1,1
202,1622,2023-03-01,1,1
203,1625,2023-03-01,1,1
204,1627,2023-03-01,1,1
205,1631,2023-03-01,1,1
206,1632,2023-03-01,1,1
207,1636,2023-03-01,1,1
208,1638,2023-03-01,1,1
209,1640,2023-03-01,1,1
210,1642,2023-03-01,1,1
211,1645,2023-03-01,1,1
212,1647,2023-03-01,1,1
213,1649,2023-03-01,1,1
214,1657,2023-03-01,1,1
215,1659,2023-03-01,1,1
216,1665,2023-03-01,1,1
217,1678,2023-03-01,1,1
218,2336,2023-03-01,1,1
219,2337,2023-03-01,1,1
220,2342,2023-03-01,1,1
221,2345,2023-03-01,1,1
222,2349,2023-03-01,1,1
223,2351,2023-03-01,1,1
224,2358,2023-03-01,1,1
225,2365,2023-03-01,1,1
226,2367,2023-03-01,1,1
227,2368,2023-03-01,1,1
228,2374,2023-03-01,1,1
229,2377,2023-03-01,1,1
230,2378,2023-03-01,1,1
231,2381,2023-03-01,1,1
232,2382,2023-03-01,1,1
233,2386,2023-03-01,1,1
234,2391,2023-03-01,1,1
235,2392,2023-03-01,1,1
236,2394,2023-03-01,1,1
237,2399,2023-03-01,1,1
238,2401,2023-03-01,1,1
239,2406,2023-03-01,1,1
240,1682,2023-03-01,1,1
241,1683,2023-03-01,1,1
242,1685,2023-03-01,1,1
243,1687,2023-03-01,1,1
244,1691,2023-03-01,1,1
245,1694,2023-03-01,1,1
246,1696,2023-03-01,1,1
247,1700,2023-03-01,1,1
248,1701,2023-03-01,1,1
249,1707,2023-03-01,1,1
250,1708,2023-03-01,1,1
251,1715,2023-03-01,1,1
252,1717,2023-03-01,1,1
253,1721,2023-03-01,1,1
254,1722,2023-03-01,1,1
255,1731,2023-03-01,1,1
256,33906,2023-03-01,1,1
257,2413,2023-03-01,1,1
258,2416,2023-03-01,1,1
259,2420,2023-03-01,1,1
260,2425,2023-03-01,1,1
261,2430,2023-03-01,1,1
262,2432,2023-03-01,1,1
263,2434,2023-03-01,1,1
264,4597,2023-03-01,1,1
265,33907,2023-03-01,1,1
266,33909,2023-03-01,1,1
267,33913,2023-03-01,1,1
268,1738,2023-03-01,1,1
269,1739,2023-03-01,1,1
270,1747,2023-03-01,1,1
271,1755,2023-03-01,1,1
272,1758,2023-03-01,1,1
273,1759,2023-03-01,1,1
274,1766,2023-03-01,1,1
275,1767,2023-03-01,1,1
276,1768,2023-03-01,1,1
277,1770,2023-03-01,1,1
278,1771,2023-03-01,1,1
279,1777,2023-03-01,1,1
280,1778,2023-03-01,1,1
281,1783,2023-03-01,1,1
282,1784,2023-03-01,1,1
283,1787,2023-03-01,1,1
284,1794,2023-03-01,1,1
285,1796,2023-03-01,1,1
286,1804,2023-03-01,1,1
287,1811,2023-03-01,1,1
288,1812,2023-03-01,1,1
289,1821,2023-03-01,1,1
290,1822,2023-03-01,1,1
291,1826,2023-03-01,1,1
292,1831,2023-03-01,1,1
293,1833,2023-03-01,1,1
294,1834,2023-03-01,1,1
295,1836,2023-03-01,1,1
296,1839,2023-03-01,1,1
297,1846,2023-03-01,1,1
298,1852,2023-03-01,1,1
299,1853,2023-03-01,1,1
300,1856,2023-03-01,1,1
301,1857,2023-03-01,1,1
302,1865,2023-03-01,1,1
303,1870,2023-03-01,1,1
304,1871,2023-03-01,1,1
305,1876,2023-03-01,1,1
306,1882,2023-03-01,1,1
307,1884,2023-03-01,1,1
308,1889,2023-03-01,1,1
309,1891,2023-03-01,1,1
310,1892,2023-03-01,1,1
311,1900,2023-03-01,1,1
312,1902,2023-03-01,1,1
313,1904,2023-03-01,1,1
314,1907,2023-03-01,1,1
315,1908,2023-03-01,1,1
316,1914,2023-03-01,1,1
317,1915,2023-03-01,1,1
318,1924,2023-03-01,1,1
319,1926,2023-03-01,1,1
320,1927,2023-03-01,1,1
321,1930,2023-03-01,1,1
322,1931,2023-03-01,1,1
323,1936,2023-03-01,1,1
324,1937,2023-03-01,1,1
325,1940,2023-03-01,1,1
326,1942,2023-03-01,1,1
327,1945,2023-03-01,1,1
328,1948,2023-03-01,1,1
329,1949,2023-03-01,1,1
330,1952,2023-03-01,1,1
331,1958,2023-03-01,1,1
332,1961,2023-03-01,1,1
333,1963,2023-03-01,1,1
334,1967,2023-03-01,1,1
335,1970,2023-03-01,1,1
336,1975,2023-03-01,1,1
337,1976,2023-03-01,1,1
338,1978,2023-03-01,1,1
339,1981,2023-03-01,1,1
340,1983,2023-03-01,1,1
341,1990,2023-03-01,1,1
342,7,2023-03-01,1,1
343,10,2023-03-01,1,1
344,11,2023-03-01,1,1
345,19,2023-03-01,1,1
346,1992,2023-03-01,1,1
347,1997,2023-03-01,1,1
348,1999,2023-03-01,1,1
349,2007,2023-03-01,1,1
350,2010,2023-03-01,1,1
351,2013,2023-03-01,1,1
352,2015,2023-03-01,1,1
353,2018,2023-03-01,1,1
354,2023,2023-03-01,1,1
355,2025,2023-03-01,1,1
356,2029,2023-03-01,1,1
357,2030,2023-03-01,1,1
358,2034,2023-03-01,1,1
359,71,2023-03-01,1,1
360,646,2023-03-01,1,1
361,661,2023-03-01,1,1
362,672,2023-03-01,1,1
363,840,2023-03-01,1,1
364,845,2023-03-01,1,1
365,848,2023-03-01,1,1
366,852,2023-03-01,1,1
367,853,2023-03-01,1,1
368,857,2023-03-01,1,1
369,859,2023-03-01,1,1
370,860,2023-03-01,1,1
371,862,2023-03-01,1,1
372,863,2023-03-01,1,1
373,869,2023-03-01,1,1
374,871,2023-03-01,1,1
375,877,2023-03-01,1,1
376,881,2023-03-01,1,1
377,882,2023-03-01,1,1
378,887,2023-03-01,1,1
379,889,2023-03-01,1,1
380,906,2023-03-01,1,1
381,910,2023-03-01,1,1
382,914,2023-03-01,1,1
383,916,2023-03-01,1,1
384,924,2023-03-01,1,1
385,926,2023-03-01,1,1
386,928,2023-03-01,1,1
387,940,2023-03-01,1,1
388,941,2023-03-01,1,1
389,946,2023-03-01,1,1
390,951,2023-03-01,1,1
391,975,2023-03-01,1,1
392,977,2023-03-01,1,1
393,978,2023-03-01,1,1
394,981,2023-03-01,1,1
395,982,2023-03-01,1,1
396,987,2023-03-01,1,1
397,988,2023-03-01,1,1
398,33917,2023-03-01,1,1
399,33918,2023-03-01,1,1
400,2042,2023-03-01,1,1
401,2046,2023-03-01,1,1
402,2048,2023-03-01,1,1
403,2053,2023-03-01,1,1
404,2058,2023-03-01,1,1
405,2059,2023-03-01,1,1
406,2062,2023-03-01,1,1
407,2069,2023-03-01,1,1
408,2071,2023-03-01,1,1
409,2073,2023-03-01,1,1
410,2077,2023-03-01,1,1
411,2079,2023-03-01,1,1
412,2081,2023-03-01,1,1
413,2086,2023-03-01,1,1
414,2090,2023-03-01,1,1
415,990,2023-03-01,1,1
416,995,2023-03-01,1,1
417,996,2023-03-01,1,1
418,1003,2023-03-01,1,1
419,1008,2023-03-01,1,1
420,1009,2023-03-01,1,1
421,1012,2023-03-01,1,1
422,1017,2023-03-01,1,1
423,1028,2023-03-01,1,1
424,1032,2023-03-01,1,1
425,1037,2023-03-01,1,1
426,1047,2023-03-01,1,1
427,1051,2023-03-01,1,1
428,1052,2023-03-01,1,1
429,1055,2023-03-01,1,1
430,1058,2023-03-01,1,1
431,1061,2023-03-01,1,1
432,1064,2023-03-01,1,1
433,1068,2023-03-01,1,1
434,1070,2023-03-01,1,1
435,1072,2023-03-01,1,1
436,2096,2023-03-01,1,1
437,2100,2023-03-01,1,1
438,2101,2023-03-01,1,1
439,2104,2023-03-01,1,1
440,2108,2023-03-01,1,1
441,2111,2023-03-01,1,1
442,2112,2023-03-01,1,1
443,2116,2023-03-01,1,1
444,2127,2023-03-01,1,1
445,2129,2023-03-01,1,1
446,2132,2023-03-01,1,1
447,2136,2023-03-01,1,1
448,2139,2023-03-01,1,1
449,2144,2023-03-01,1,1
450,2150,2023-03-01,1,1
451,2154,2023-03-01,1,1
452,2156,2023-03-01,1,1
453,2160,2023-03-01,1,1
454,2161,2023-03-01,1,1
455,2173,2023-03-01,1,1
456,2175,2023-03-01,1,1
457,2177,2023-03-01,1,1
458,7064,2023-03-01,1,1
459,7065,2023-03-01,1,1
460,7068,2023-03-01,1,1
461,7072,2023-03-01,1,1
462,7076,2023-03-01,1,1
463,7082,2023-03-01,1,1
464,7089,2023-03-01,1,1
465,7093,2023-03-01,1,1
466,7094,2023-03-01,1,1
467,7100,2023-03-01,1,1
468,7101,2023-03-01,1,1
469,7104,2023-03-01,1,1
470,7114,2023-03-01,1,1
471,7117,2023-03-01,1,1
472,7124,2023-03-01,1,1
473,7127,2023-03-01,1,1
474,7140,2023-03-01,1,1
475,7142,2023-03-01,1,1
476,7147,2023-03-01,1,1
477,7149,2023-03-01,1,1
478,7151,2023-03-01,1,1
479,7158,2023-03-01,1,1
480,7161,2023-03-01,1,1
481,7165,2023-03-01,1,1
482,7166,2023-03-01,1,1
483,7282,2023-03-01,1,1
484,7287,2023-03-01,1,1
485,7290,2023-03-01,1,1
486,7294,2023-03-01,1,1
487,7295,2023-03-01,1,1
488,7298,2023-03-01,1,1
489,7311,2023-03-01,1,1
490,7323,2023-03-01,1,1
491,7329,2023-03-01,1,1
492,7335,2023-03-01,1,1
493,7338,2023-03-01,1,1
494,7340,2023-03-01,1,1
495,7341,2023-03-01,1,1
496,7352,2023-03-01,1,1
497,7355,2023-03-01,1,1
498,7358,2023-03-01,1,1
499,5278,2023-03-01,1,1
500,5281,2023-03-01,1,1
501,5282,2023-03-01,1,1
502,5287,2023-03-01,1,1
503,5291,2023-03-01,1,1
504,5293,2023-03-01,1,1
505,5295,2023-03-01,1,1
506,5301,2023-03-01,1,1
507,5304,2023-03-01,1,1
508,5306,2023-03-01,1,1
509,5389,2023-03-01,1,1
510,5307,2023-03-01,1,1
511,7176,2023-03-01,1,1
512,7179,2023-03-01,1,1
513,7181,2023-03-01,1,1
514,7187,2023-03-01,1,1
515,7209,2023-03-01,1,1
516,6357,2023-03-01,1,1
517,6358,2023-03-01,1,1
518,6359,2023-03-01,1,1
519,6360,2023-03-01,1,1
520,7217,2023-03-01,1,1
521,7218,2023-03-01,1,1
522,7222,2023-03-01,1,1
523,7225,2023-03-01,1,1
524,7230,2023-03-01,1,1
525,7231,2023-03-01,1,1
526,7236,2023-03-01,1,1
527,7239,2023-03-01,1,1
528,7242,2023-03-01,1,1
529,7247,2023-03-01,1,1
530,7249,2023-03-01,1,1
531,7252,2023-03-01,1,1
532,7258,2023-03-01,1,1
533,7259,2023-03-01,1,1
534,7263,2023-03-01,1,1
535,7268,2023-03-01,1,1
536,7270,2023-03-01,1,1
537,7274,2023-03-01,1,1
538,7275,2023-03-01,1,1
539,7278,2023-03-01,1,1
540,5310,2023-03-01,1,1
541,5313,2023-03-01,1,1
542,5322,2023-03-01,1,1
543,5324,2023-03-01,1,1
544,5325,2023-03-01,1,1
545,5330,2023-03-01,1,1
546,5331,2023-03-01,1,1
547,5335,2023-03-01,1,1
548,5349,2023-03-01,1,1
549,5352,2023-03-01,1,1
550,5353,2023-03-01,1,1
551,5360,2023-03-01,1,1
552,5361,2023-03-01,1,1
553,5374,2023-03-01,1,1
554,5378,2023-03-01,1,1
555,5385,2023-03-01,1,1
556,5388,2023-03-01,1,1
557,7478,2023-03-01,1,1
558,7482,2023-03-01,1,1
559,7483,2023-03-01,1,1
560,7493,2023-03-01,1,1
561,7499,2023-03-01,1,1
562,7501,2023-03-01,1,1
563,7506,2023-03-01,1,1
564,7510,2023-03-01,1,1
565,7519,2023-03-01,1,1
566,7525,2023-03-01,1,1
567,7531,2023-03-01,1,1
568,5757,2023-03-01,1,1
569,5758,2023-03-01,1,1
570,5765,2023-03-01,1,1
571,5767,2023-03-01,1,1
572,5772,2023-03-01,1,1
573,5777,2023-03-01,1,1
574,5782,2023-03-01,1,1
575,5783,2023-03-01,1,1
576,5933,2023-03-01,1,1
577,6484,2023-03-01,1,1
578,6487,2023-03-01,1,1
579,6488,2023-03-01,1,1
580,6498,2023-03-01,1,1
581,6689,2023-03-01,1,1
582,5788,2023-03-01,1,1
583,5791,2023-03-01,1,1
584,5792,2023-03-01,1,1
585,5799,2023-03-01,1,1
586,5800,2023-03-01,1,1
587,5807,2023-03-01,1,1
588,5813,2023-03-01,1,1
589,5820,2023-03-01,1,1
590,5826,2023-03-01,1,1
591,5829,2023-03-01,1,1
592,5833,2023-03-01,1,1
593,5834,2023-03-01,1,1
594,5849,2023-03-01,1,1
595,5859,2023-03-01,1,1
596,5861,2023-03-01,1,1
597,5866,2023-03-01,1,1
598,6500,2023-03-01,1,1
599,6510,2023-03-01,1,1
600,6521,2023-03-01,1,1
601,6524,2023-03-01,1,1
602,6525,2023-03-01,1,1
603,6529,2023-03-01,1,1
604,6531,2023-03-01,1,1
605,6540,2023-03-01,1,1
606,6552,2023-03-01,1,1
607,6554,2023-03-01,1,1
608,6555,2023-03-01,1,1
609,6562,2023-03-01,1,1
610,6563,2023-03-01,1,1
611,6564,2023-03-01,1,1
612,6565,2023-03-01,1,1
613,6568,2023-03-01,1,1
614,6574,2023-03-01,1,1
615,5557,2023-03-01,1,1
616,5561,2023-03-01,1,1
617,5563,2023-03-01,1,1
618,5566,2023-03-01,1,1
619,5568,2023-03-01,1,1
620,5574,2023-03-01,1,1
621,5575,2023-03-01,1,1
622,5582,2023-03-01,1,1
623,5585,2023-03-01,1,1
624,5590,2023-03-01,1,1
625,5591,2023-03-01,1,1
626,5596,2023-03-01,1,1
627,5606,2023-03-01,1,1
628,5607,2023-03-01,1,1
629,5615,2023-03-01,1,1
630,5616,2023-03-01,1,1
631,5626,2023-03-01,1,1
632,5629,2023-03-01,1,1
633,5635,2023-03-01,1,1
634,5640,2023-03-01,1,1
635,5642,2023-03-01,1,1
636,5647,2023-03-01,1,1
637,6586,2023-03-01,1,1
638,5649,2023-03-01,1,1
639,5652,2023-03-01,1,1
640,5653,2023-03-01,1,1
641,5658,2023-03-01,1,1
642,5659,2023-03-01,1,1
643,5662,2023-03-01,1,1
644,5665,2023-03-01,1,1
645,5668,2023-03-01,1,1
646,5671,2023-03-01,1,1
647,5672,2023-03-01,1,1
648,5676,2023-03-01,1,1
649,5678,2023-03-01,1,1
650,5681,2023-03-01,1,1
651,5685,2023-03-01,1,1
652,5689,2023-03-01,1,1
653,5691,2023-03-01,1,1
654,5696,2023-03-01,1,1
655,6466,2023-03-01,1,1
656,6736,2023-03-01,1,1
657,6746,2023-03-01,1,1
658,6747,2023-03-01,1,1
659,6753,2023-03-01,1,1
660,6755,2023-03-01,1,1
661,6760,2023-03-01,1,1
662,6774,2023-03-01,1,1
663,6233,2023-03-01,1,1
664,6237,2023-03-01,1,1
665,6245,2023-03-01,1,1
666,6247,2023-03-01,1,1
667,6251,2023-03-01,1,1
668,6254,2023-03-01,1,1
669,6257,2023-03-01,1,1
670,6259,2023-03-01,1,1
671,6263,2023-03-01,1,1
672,7536,2023-03-01,1,1
673,7541,2023-03-01,1,1
674,6264,2023-03-01,1,1
675,6269,2023-03-01,1,1
676,6276,2023-03-01,1,1
677,6282,2023-03-01,1,1
678,6284,2023-03-01,1,1
679,6287,2023-03-01,1,1
680,6289,2023-03-01,1,1
681,6295,2023-03-01,1,1
682,6296,2023-03-01,1,1
683,6300,2023-03-01,1,1
684,6302,2023-03-01,1,1
685,6312,2023-03-01,1,1
686,7546,2023-03-01,1,1
687,7549,2023-03-01,1,1
688,7555,2023-03-01,1,1
689,7556,2023-03-01,1,1
690,7566,2023-03-01,1,1
691,7568,2023-03-01,1,1
692,7573,2023-03-01,1,1
693,7582,2023-03-01,1,1
694,7583,2023-03-01,1,1
695,7591,2023-03-01,1,1
696,7594,2023-03-01,1,1
697,7600,2023-03-01,1,1
698,7602,2023-03-01,1,1
699,7608,2023-03-01,1,1
700,7613,2023-03-01,1,1
701,7618,2023-03-01,1,1
702,7621,2023-03-01,1,1
703,7627,2023-03-01,1,1
704,7640,2023-03-01,1,1
705,7645,2023-03-01,1,1
706,7648,2023-03-01,1,1
707,7656,2023-03-01,1,1
708,5950,2023-03-01,1,1
709,5960,2023-03-01,1,1
710,5961,2023-03-01,1,1
711,5965,2023-03-01,1,1
712,5972,2023-03-01,1,1
713,6316,2023-03-01,1,1
714,6317,2023-03-01,1,1
715,6693,2023-03-01,1,1
716,6695,2023-03-01,1,1
717,7659,2023-03-01,1,1
718,7663,2023-03-01,1,1
719,7664,2023-03-01,1,1
720,7678,2023-03-01,1,1
721,7680,2023-03-01,1,1
722,7683,2023-03-01,1,1
723,7688,2023-03-01,1,1
724,7691,2023-03-01,1,1
725,7693,2023-03-01,1,1
726,7696,2023-03-01,1,1
727,7705,2023-03-01,1,1
728,7709,2023-03-01,1,1
729,7711,2023-03-01,1,1
730,7719,2023-03-01,1,1
731,7722,2023-03-01,1,1
732,7723,2023-03-01,1,1
733,7727,2023-03-01,1,1
734,7728,2023-03-01,1,1
735,5872,2023-03-01,1,1
736,5973,2023-03-01,1,1
737,5976,2023-03-01,1,1
738,5980,2023-03-01,1,1
739,5982,2023-03-01,1,1
740,5983,2023-03-01,1,1
741,5985,2023-03-01,1,1
742,5991,2023-03-01,1,1
743,5992,2023-03-01,1,1
744,5994,2023-03-01,1,1
745,5995,2023-03-01,1,1
746,5999,2023-03-01,1,1
747,6007,2023-03-01,1,1
748,6009,2023-03-01,1,1
749,6014,2023-03-01,1,1
750,6023,2023-03-01,1,1
751,6025,2023-03-01,1,1
752,6031,2023-03-01,1,1
753,6037,2023-03-01,1,1
754,6040,2023-03-01,1,1
755,6046,2023-03-01,1,1
756,6051,2023-03-01,1,1
757,6711,2023-03-01,1,1
758,6716,2023-03-01,1,1
759,6717,2023-03-01,1,1
760,6721,2023-03-01,1,1
761,6722,2023-03-01,1,1
762,6728,2023-03-01,1,1
763,6734,2023-03-01,1,1
764,5882,2023-03-01,1,1
765,5884,2023-03-01,1,1
766,5890,2023-03-01,1,1
767,5724,2023-03-01,1,1
768,5727,2023-03-01,1,1
769,5895,2023-03-01,1,1
770,6602,2023-03-01,1,1
771,6604,2023-03-01,1,1
772,6609,2023-03-01,1,1
773,6613,2023-03-01,1,1
774,6618,2023-03-01,1,1
775,6619,2023-03-01,1,1
776,6623,2023-03-01,1,1
777,6624,2023-03-01,1,1
778,6627,2023-03-01,1,1
779,6628,2023-03-01,1,1
780,6638,2023-03-01,1,1
781,6649,2023-03-01,1,1
782,6655,2023-03-01,1,1
783,5398,2023-03-01,1,1
784,5407,2023-03-01,1,1
785,5412,2023-03-01,1,1
786,5415,2023-03-01,1,1
787,5730,2023-03-01,1,1
788,5732,2023-03-01,1,1
789,5734,2023-03-01,1,1
790,5741,2023-03-01,1,1
791,5748,2023-03-01,1,1
792,5750,2023-03-01,1,1
793,6473,2023-03-01,1,1
794,5420,2023-03-01,1,1
795,5422,2023-03-01,1,1
796,5425,2023-03-01,1,1
797,5432,2023-03-01,1,1
798,5434,2023-03-01,1,1
799,5436,2023-03-01,1,1
800,5441,2023-03-01,1,1
801,5447,2023-03-01,1,1
802,5448,2023-03-01,1,1
803,5455,2023-03-01,1,1
804,5461,2023-03-01,1,1
805,5464,2023-03-01,1,1
806,5466,2023-03-01,1,1
807,5474,2023-03-01,1,1
808,5477,2023-03-01,1,1
809,5482,2023-03-01,1,1
810,5493,2023-03-01,1,1
811,5498,2023-03-01,1,1
812,5500,2023-03-01,1,1
813,5503,2023-03-01,1,1
814,5507,2023-03-01,1,1
815,5513,2023-03-01,1,1
816,5515,2023-03-01,1,1
817,5521,2023-03-01,1,1
818,5522,2023-03-01,1,1
819,5529,2023-03-01,1,1
820,5531,2023-03-01,1,1
821,5539,2023-03-01,1,1
822,5544,2023-03-01,1,1
823,5546,2023-03-01,1,1
824,5548,2023-03-01,1,1
825,5554,2023-03-01,1,1
826,6433,2023-03-01,1,1
827,6063,2023-03-01,1,1
828,6065,2023-03-01,1,1
829,6067,2023-03-01,1,1
830,6070,2023-03-01,1,1
831,6076,2023-03-01,1,1
832,6079,2023-03-01,1,1
833,6083,2023-03-01,1,1
834,6089,2023-03-01,1,1
835,6090,2023-03-01,1,1
836,6093,2023-03-01,1,1
837,6094,2023-03-01,1,1
838,6101,2023-03-01,1,1
839,6107,2023-03-01,1,1
840,6109,2023-03-01,1,1
841,6113,2023-03-01,1,1
842,6115,2023-03-01,1,1
843,6438,2023-03-01,1,1
844,7361,2023-03-01,1,1
845,7364,2023-03-01,1,1
846,7369,2023-03-01,1,1
847,7376,2023-03-01,1,1
848,7385,2023-03-01,1,1
849,7390,2023-03-01,1,1
850,6121,2023-03-01,1,1
851,6127,2023-03-01,1,1
852,6131,2023-03-01,1,1
853,6134,2023-03-01,1,1
854,6136,2023-03-01,1,1
855,6148,2023-03-01,1,1
856,6149,2023-03-01,1,1
857,6154,2023-03-01,1,1
858,6155,2023-03-01,1,1
859,6160,2023-03-01,1,1
860,6161,2023-03-01,1,1
861,6172,2023-03-01,1,1
862,6173,2023-03-01,1,1
863,6177,2023-03-01,1,1
864,6178,2023-03-01,1,1
865,6180,2023-03-01,1,1
866,6183,2023-03-01,1,1
867,6186,2023-03-01,1,1
868,6191,2023-03-01,1,1
869,6201,2023-03-01,1,1
870,6204,2023-03-01,1,1
871,6210,2023-03-01,1,1
872,7391,2023-03-01,1,1
873,7394,2023-03-01,1,1
874,7396,2023-03-01,1,1
